ID_1,WLM_AID
1104150,36643
1112300,48946
1112350,49139
1134200,49511
1134220,49874
1134310,49694
1134480,48959
1134850,47512
1134900,48168
1147012,55316
1147200,55299
1159100,64450
1159105,64288
1159130,65063
1159300,64297
1159302,64618
1159303,64772
1159650,65076
1159800,63823
1160235,65352
1160305,65972
1160353,65865
1160378,65753
1160391,65867
1160460,65872
1160493,65759
1160510,65762
1160777,65228
1160880,64476
1160919,64319
1196100,62971
1196400,62608
1196550,62233
1197500,63329
1234080,48581
1234130,49162
1234150,48972
1237500,49184
1255100,60335
1257100,60533
1257101,60536
1258100,61069
1258200,61434
1258201,61814
1258503,62582
1259100,64129
1259101,63802
1259150,64930
1259350,63303
1269600,54917
1271500,54712
1286660,57084
1286700,57278
1286900,57086
1287800,56324
1289200,55954
1289450,56708
1291100,60355
1291200,60540
1308600,37936
1309700,37622
1322880,51645
1323550,51647
1335014,50916
1335122,51114
1337101,51313
1338201,52064
1339100,52741
1340500,53220
1362100,40570
1362600,44182
1389100,62054
1389230,61295
1389470,63164
1389500,60576
1389520,60393
1389600,62632
1425500,52400
1428500,51842
1445100,55508
1445490,55712
1448050,53226
1472150,53260
1472300,53960
1491200,60922
1491210,61097
1495240,61849
1495700,61105
1526300,52038
1530100,52222
1531600,50083
1531700,51850
1537800,49929
1577102,50968
1577602,50164
1591470,58937
1599100,63830
1634400,50063
1643200,54097
1643300,54100
1643400,54281
1643450,53555
1644200,55287
1663100,48441
1663800,49774
1664100,47358
1666100,50747
1673100,48232
1673600,50544
1673900,52461
1732100,51476
1734450,49710
1737700,50722
1749100,52435
1749480,52441
1815020,49677
1837107,49365
1837250,49546
1837401,49545
1878100,53451
1878500,52488
1880100,52804
1891500,59804
1894200,61291
1931295,49336
1931725,49340
1934715,49159
1992900,59993
2106100,44609
2106500,29743
2106600,31304
2151100,41004
2178300,33819
2178400,32749
2178500,34175
2178950,38766
2179100,32037
2180400,36489
2180500,37482
2180700,37488
2180711,34494
2180750,37490
2180800,37493
2181300,41658
2181400,41352
2181500,38402
2181600,40059
2181800,40065
2181850,42600
2181900,40071
2182100,38748
2186500,44875
2186800,44598
2186900,44322
2186950,44604
2217102,36422
2217200,36099
2218100,37065
2218200,37710
2218450,36093
2240100,37725
2240200,37407
2260100,42855
2260110,44284
2260500,45137
2260700,46933
2261500,46685
2311104,25416
2311109,28025
2311200,21771
2311475,25841
2311479,22208
2311480,24056
2311820,26290
2314450,30046
2316200,31185
2316201,29615
2316204,30416
2316500,32291
2319200,24920
2319500,25808
2335200,37727
2335950,43389
2337100,40964
2416850,33014
2423500,39267
2423800,39270
2428200,37997
2428350,38955
2469050,46210
2469060,45964
2469072,47201
2469140,47202
2469260,48507
2496700,42183
2517450,34417
2517610,35410
2517700,35417
2517820,35089
2517920,34422
2517950,35743
2548400,41298
2548500,41299
2549350,41622
2549500,41935
2550200,41941
2550450,42242
2569003,49641
2587100,31698
2588551,36866
2589500,35864
2595400,38619
2595600,36371
2595700,38297
2617110,35404
2646200,43988
2651100,43432
2677100,35520
2694510,37183
2706100,28494
2707100,26320
2707500,26764
2707600,27200
2707700,27206
2744200,27173
2816203,33726
2817400,36095
2836100,37731
2837100,38358
2839100,39321
2851300,42847
2851500,42254
2854050,44269
2854450,48484
2854500,48887
2876500,33124
2878100,34526
2901200,11873
2901201,11881
2901300,15196
2901900,8386
2902850,20636
2903050,19324
2903052,23215
2903054,21866
2903056,20996
2903070,16680
2903080,17645
2903081,18092
2903087,19356
2903120,21426
2903150,15132
2903151,16672
2903152,17630
2903215,21420
2903240,20577
2903300,19732
2903301,21406
2903330,20144
2903401,20184
2903402,18942
2903412,12399
2903422,22743
2903424,21402
2903426,18905
2903427,17601
2903428,17148
2903429,15649
2903430,4758
2903470,15643
2903471,15112
2903475,16665
2903479,17154
2903480,18063
2903482,21433
2903490,17614
2903495,16145
2903497,16647
2903601,15661
2903602,18086
2903603,18522
2903605,19342
2903630,17609
2903647,17599
2903650,19743
2903654,19320
2903701,15099
2903702,14016
2903703,14013
2903704,13462
2903710,12926
2903721,12349
2903722,10582
2903728,12340
2903730,14021
2903740,15610
2903981,6700
2903983,13527
2903993,12974
2906200,24146
2906201,23231
2906300,25954
2906500,24628
2906700,27693
2906800,30553
2906900,25968
2906901,24191
2907010,22750
2907020,24586
2907043,25476
2907060,25472
2907080,25470
2907400,24126
2907403,25906
2908010,19709
2908011,20544
2908050,19283
2908099,19300
2908100,18875
2908101,18884
2908102,20551
2908105,24579
2908180,23654
2908190,22286
2908200,22283
2908210,20973
2908303,21390
2908680,18020
2909150,9340
2909151,12291
2909152,15571
2909153,18873
2909154,20950
2909156,21375
2909158,23631
2909159,24554
2909161,24099
2909163,24103
2909164,24560
2909240,24553
2909260,23173
2909314,22717
2909321,22721
2909360,20536
2909391,18453
2909400,15048
2909401,15583
2909403,18028
2909540,14493
2909560,17084
2909590,8200
2909702,16119
2909704,12886
2909705,11715
2910100,17054
2910120,15528
2910130,15532
2910140,17049
2910150,15535
2910160,15540
2910170,16062
2910200,17539
2910230,18856
2910231,18442
2910240,18426
2910260,19260
2910300,20103
2910310,19265
2910312,20107
2910313,19693
2910314,20528
2910319,21372
2910326,20940
2910441,25867
2910470,23620
2910473,24545
2910490,22706
2910560,23615
2910581,21361
2910600,17981
2910601,19261
2910603,21357
2910606,22694
2910607,23158
2910608,24081
2910660,22700
2911095,16547
2911097,18824
2911098,19237
2911099,20083
2911100,21338
2911105,25856
2911207,24950
2911391,20082
2911452,21339
2911456,20924
2911570,21792
2911590,23150
2911630,19226
2911650,17944
2911671,20478
2911680,20893
2911700,17513
2911703,17036
2911731,17517
2911828,20064
2911860,20480
2911870,19646
2911875,18815
2912550,13367
2912551,13911
2912553,14985
2912556,13917
2912600,10485
2912602,16041
2912640,11090
2912657,17499
2913200,26249
2916550,32646
2916860,33017
2916890,33022
2917100,32272
2917400,35409
2917900,34755
2919100,24481
2964080,47431
2964130,48496
2966998,49080
2969010,45959
2969087,48501
2969100,47882
2969150,48303
2969200,48505
2997110,12263
2997115,9901
2997120,11109
2997200,11098
2997250,10517
2997510,12270
2997520,10521
2997580,7096
2998450,7775
2998454,15692
2998500,9474
2998502,15167
2998505,15159
2998510,7784
2998511,14613
2998702,8352
2998720,8918
2998735,11277
2998740,9480
2999110,5801
2999112,8862
2999140,7730
2999150,5048
2999151,6634
2999461,9431
2999470,8865
2999471,9438
2999480,7734
2999900,5400
2999910,5067
2999920,7703
2999922,8249
3102500,51788
3103150,52161
3103300,50227
3103500,51792
3142500,53325
3179200,65822
3179250,65931
3179300,66184
3179400,66245
3179500,66368
3179800,65014
3179880,64715
3179910,64402
3180500,63916
3206610,52184
3206720,51052
3264500,63945
3265005,63599
3265100,63436
3265300,64103
3265601,65606
3265910,64427
3268150,62538
3268270,62723
3268500,62158
3268900,63444
3269300,64587
3274030,64085
3274150,64091
3275050,64869
3275100,65168
3275220,65589
3275700,66313
3275750,66562
3275800,66498
3275900,66711
3275990,66688
3276200,66895
3276320,67020
3276800,67246
3308300,52006
3308400,51638
3308600,52195
3411300,52388
3469050,65190
3469100,65735
3469150,65737
3469200,65485
3512400,52392
3514800,52734
3613050,53725
3617110,58063
3617805,58856
3618053,53693
3618090,53346
3618110,53512
3618500,53194
3618720,52876
3618950,53689
3621200,54616
3621400,54416
3623100,55224
3624200,55647
3628701,56796
3629000,54638
3630100,54640
3630300,54447
3631100,54260
3631210,54082
3632400,55640
3632401,56016
3632450,55831
3632800,56021
3632801,56020
3633120,56027
3633122,56585
3633160,56959
3633180,57554
3634150,57736
3634340,56784
3634360,57374
3634370,57563
3634380,57560
3635030,56225
3635040,57571
3635041,57904
3635060,57740
3635402,57576
3635408,58226
3635650,56983
3636100,54253
3636500,54441
3637150,56424
3637180,56797
3637380,58384
3637771,57759
3637772,57923
3637773,58390
3637790,57184
3637900,58385
3637910,58387
3638010,55476
3638050,55258
3638051,56808
3638120,55866
3638150,56239
3638200,56622
3649014,59392
3649030,59393
3649130,59051
3649211,58563
3649240,58405
3649310,57010
3649320,57776
3649412,59733
3649414,58559
3649416,57201
3649418,56628
3649459,59918
3649614,59554
3649619,58558
3649900,56063
3649902,56253
3649905,57203
3649950,55480
3649960,56249
3650150,55267
3650202,54862
3650285,55272
3650335,55885
3650355,56074
3650359,55694
3650385,55275
3650455,57019
3650460,56831
3650470,56263
3650471,55892
3650477,55496
3650481,55278
3650488,57208
3650634,56084
3650649,56270
3650750,56651
3650885,56843
3651309,60505
3651408,60316
3651535,59227
3651678,58262
3651806,59058
3651807,58415
3651900,57797
3652030,58114
3652050,58118
3652419,60323
3652450,59941
3652890,62007
3653120,63113
3653352,63795
3662100,61594
3662300,61983
3662400,62924
3662655,62562
3663100,62922
3664150,63458
3664160,63455
3664802,63629
3666020,61212
3666050,59721
3666100,61215
3666200,60296
3666400,60294
3666500,60107
3666600,61585
3666700,60675
3667060,61779
3667400,62169
3669600,64591
3669700,63953
3844100,53850
4101501,6781
4101900,9552
4102100,15237
4102740,17253
4102750,17258
4103200,14686
4103300,12489
4103450,11925
4103500,10760
4103560,9002
4103600,11939
4103700,9009
4103750,13081
4103800,11954
4103820,12524
4105050,17722
4105700,15786
4105800,15252
4106600,18167
4113300,27764
4113302,28190
4113363,29024
4114615,26079
4115101,29773
4115200,29379
4115202,28564
4115205,27288
4115206,27720
4115220,30178
4115280,29776
4115305,26424
4115332,27729
4115349,28576
4115400,27723
4116180,28984
4116184,30579
4116185,30967
4116187,31726
4116300,28985
4116330,29389
4116450,31347
4118410,33150
4118440,33147
4118850,34222
4119080,29436
4119100,30232
4119101,28616
4119280,33198
4119300,33200
4119400,33918
4119401,32841
4119440,30235
4119450,31402
4119460,30231
4119650,32138
4119800,34265
4120120,29406
4120200,27314
4120321,29001
4120330,29398
4120900,27318
4120901,27745
4120902,27737
4120951,29404
4120956,31365
4121100,28176
4121131,29816
4121141,30609
4121142,30995
4121160,31001
4121300,31005
4121321,30620
4121341,32127
4121420,29420
4121800,31761
4121802,28182
4122131,33536
4122151,32458
4122152,32110
4122222,34589
4122251,33912
4122300,34926
4122350,34251
4122351,33544
4122600,32827
4122602,33186
4122630,32823
4122650,33191
4122710,34255
4122900,34600
4122901,34598
4122902,34256
4123050,35598
4123060,35938
4123063,36940
4123081,36293
4123130,34937
4123131,33571
4123207,34610
4123268,35284
4123300,34613
4123301,33583
4123352,33223
4123400,33935
4125027,35585
4125050,36274
4125060,36272
4125064,35575
4125500,36596
4125550,36920
4125560,35914
4125801,35581
4125900,36928
4125902,36604
4126700,38833
4126800,39148
4126801,37891
4126803,37573
4126804,37887
4126805,37886
4127200,34933
4127500,38211
4127502,35266
4127800,38835
4133200,30637
4133400,29446
4133750,31786
4135200,32851
4143550,30268
4146110,32772
4146112,32075
4146280,34540
4146360,35203
4146400,36223
4146650,31335
4146670,31709
4147010,29881
4147051,30279
4147320,35290
4147380,31813
4147460,32173
4147500,31809
4147600,33595
4147703,33946
4147704,32519
4147725,32866
4147900,34291
4148090,36310
4148120,36955
4148232,37614
4148300,37611
4148530,37608
4148541,37283
4148650,38540
4148720,39169
4149120,39470
4149300,39472
4149400,39159
4149413,39157
4149420,39475
4149440,38530
4149632,40147
4149670,38223
4149690,40146
4149780,40151
4150281,41416
4150310,40787
4150330,41102
4150450,40462
4150452,39133
4150500,40464
4150501,39139
4150503,38194
4150600,39789
4150680,39791
4150700,39792
4151511,38185
4151514,36901
4151800,41730
4151801,38179
4151802,36575
4152100,38473
4152103,36558
4152202,38475
4152400,37221
4152450,35891
4152460,34565
4152465,36565
4152466,37225
4152550,34225
4152551,33526
4152553,32098
4152590,33527
4152601,35897
4152602,35899
4152620,34891
4152650,34568
4203050,8444
4203152,13659
4203200,13089
4203250,14199
4203500,14204
4203501,14747
4203760,15805
4203900,15804
4204100,18593
4204900,19825
4205100,16804
4207150,21948
4207180,21949
4207190,21951
4207250,22846
4207305,24222
4207310,23304
4207800,25562
4207830,24679
4207900,25995
4208005,15310
4208025,9029
4208040,9026
4208065,9606
4208150,11408
4208160,11415
4208168,11426
4208170,12563
4208200,14230
4208255,17742
4208270,17745
4208271,15831
4208274,17300
4208275,16822
4208280,16833
4208300,15840
4208311,13118
4208360,18189
4208400,17332
4208410,14261
4208420,16857
4208440,16847
4208450,17772
4208456,20263
4208457,20262
4208470,16345
4208477,16340
4208550,20259
4208596,21089
4208630,20269
4208640,20682
4208645,21093
4208730,19866
4208821,19444
4208870,21528
4208880,19867
4208971,17786
4208987,18218
4209150,7908
4209155,7907
4209400,11433
4209401,9064
4209550,9655
4209600,9087
4209805,10267
4209810,12027
4209850,9108
4213031,22865
4213047,25581
4213202,25159
4213211,26910
4213250,26016
4213290,22872
4213300,22425
4213400,24254
4213440,22881
4213551,22894
4213552,22438
4213562,24242
4213576,24716
4213590,26464
4213603,24268
4213650,26042
4213680,26904
4213681,25611
4213720,20724
4213802,25170
4213804,26048
4213890,27343
4213911,25619
4214010,12607
4214025,20318
4214035,19094
4214040,19510
4214050,12603
4214051,12042
4214070,16377
4214075,14822
4214080,22922
4214090,13177
4214100,12619
4214105,18242
4214107,18237
4214210,21975
4214261,19481
4214262,20303
4214263,20712
4214265,20702
4214270,19073
4214285,20297
4214350,21566
4214351,20319
4214390,22909
4214440,21151
4214450,22022
4214460,22475
4214520,24751
4214531,25640
4214550,25200
4214621,26510
4214650,26083
4214670,25211
4214680,24766
4214700,23849
4214701,23856
4214750,22491
4214760,22943
4214770,22482
4214801,21167
4214820,20756
4214900,19098
4214930,17378
4214940,18266
4214950,19102
4215200,26429
4215210,26863
4215320,26866
4215705,26006
4231200,28246
4231630,29084
4234010,29050
4234400,29058
4236010,31423
4243050,28645
4243101,29473
4243240,29872
4243300,28658
4244410,26955
4244430,27384
4244500,22968
4244580,26100
4244605,26528
4244635,25239
4244890,25230
4245100,21069
4245250,21498
4245920,20248
4351900,42640
4355080,44899
4355100,45184
4355200,45725
4355280,46477
4355300,42618
4355400,43210
4355750,47897
4355800,47902
4358202,47235
4358220,46975
4358300,45196
4358500,47461
4361100,46986
4362600,47468
4462300,48118
4462700,47469
4664800,48923
4772300,49119
4773800,49838
5101071,59680
5101200,61361
5101301,62707
5101470,63418
5104245,64540
5109110,60986
5109170,60812
5109200,60054
5141200,56912
5202044,64711
5202070,65159
5202102,65703
5202135,65929
5204102,66100
5204250,64996
5204251,65912
5204255,64849
5204300,65917
5204301,65812
5204400,65440
5204452,64703
5223100,52142
5224500,52825
5230300,53306
5231700,52336
5302229,66419
5302400,66464
5304140,66164
5404270,66007
5410100,64213
5606080,64160
5606100,65879
5607023,60591
5607024,60777
5607025,60586
5607090,59655
5607200,63169
5607400,62451
5607450,61873
5607500,61687
5608095,60596
5608096,59841
5708110,59846
5708126,59843
5708145,59139
5709100,59497
5865300,66540
5868100,67060
6112090,32883
6113050,34301
6116200,34968
6139100,31091
6139390,29516
6140400,25287
6142200,27457
6142620,27029
6172350,17877
6211100,32181
6212420,32538
6213700,33961
6213750,33608
6217100,35304
6226400,32548
6226600,32552
6226650,32551
6226800,32900
6227410,34981
6227500,34316
6232901,9223
6232910,11010
6233201,16453
6233221,15946
6233301,18728
6233315,18720
6233401,14359
6233410,17861
6233502,13286
6233551,14902
6233650,13825
6233690,12164
6233710,11004
6233750,10395
6233850,11008
6242100,27451
6242500,27456
6279500,23969
6335070,25709
6335150,26137
6335200,27010
6335304,25711
6335600,26576
6336500,26133
6337250,23468
6337517,23928
6340110,23013
6340160,23934
6340170,24394
6342500,27015
6342800,27019
6342925,27018
6343100,27448
6348400,29921
6348800,29925
6349500,29529
6351500,32212
6357010,23477
6357500,24399
6373300,20818
6421500,25270
6435060,24382
6442500,27891
6444100,29145
6444200,28313
6457810,23481
6458010,22569
6458450,25735
6458500,24412
6458550,23492
6458600,25738
6458810,23034
6502100,23440
6542100,29142
6542500,30341
6545050,29135
6545800,30339
6546610,28724
6546800,29542
6547500,30732
6574150,21238
6590700,34041
6594090,39241
6606650,24818
6667100,33648
6667300,34681
6667400,35338
6680600,24880
6680800,27494
6680802,28759
6681300,27916
6688150,33295
6688600,32951
6688650,33308
6688900,32961
6691550,36354
6691650,35683
6692100,36675
6695200,34703
6695250,34021
6695400,34706
6729310,17405
6729400,17407
6729401,16441
6730500,6066
6742700,29561
6742800,30355
6742900,29959
6744200,29148
6744500,27900
6781800,28751
6830100,7546
6842400,31124
6842800,31130
6842900,30744
6854100,15950
6854203,16465
6854250,14915
6854500,12169
6854600,11593
6854700,10402
6854701,10407
6854710,9801
6855400,15962
6855401,14381
6855402,14376
6864050,32577
6865600,32233
6887320,32244
6935054,27871
6935302,28287
6939050,29116
6944250,27470
6955430,17437
6955610,15973
6970100,13320
6970102,14942
6970103,15981
6970155,12756
6970250,12769
6970251,13873
6970252,15481
6970270,14949
6970272,16493
6970400,12202
6970402,13882
6970460,16499
6970462,17455
6970500,12207
6970501,13341
6970520,12778
6970560,11044
6970680,15999
6970681,15492
6970682,15498
6970700,8701
6970701,11640
6970702,10463
6970703,12801
6970704,14433
6970720,14965
6970770,16503
6970809,12187
6970810,11638
6970850,10472
6970851,10475
6970901,12793
6971130,7553
6971400,7561
6971450,9257
6975010,18765
6975080,20417
6975110,21275
6975140,22155
6975200,21284
6975500,18776
6976100,20869
6976200,18367
6976400,21302
6976450,21745
6977100,27083
6978250,27935
6978251,25774
6978500,26207
6980801,25755
6983355,30370
ADHI_113,55716
ADHI_12,51875
ADHI_120,51078
ADHI_123,51076
ADHI_1465,55920
ADHI_1466,53944
ADHI_194,51478
ADHI_198,50894
ADHI_2,52589
ADHI_217,53735
ADHI_221,54470
ADHI_253,49868
ADHI_3,53060
ADHI_309,49347
ADHI_317,51296
ADHI_319,50692
ADHI_320,49714
ADHI_322,51108
ADHI_350,50720
ADHI_363,49196
ADHI_39,51884
ADHI_452,35649
ADHI_476,55117
ADHI_49,52757
ADHI_493,52908
ADHI_50,52444
ADHI_509,51079
ADHI_51,52270
ADHI_518,54276
ADHI_520,50479
ADHI_526,50481
ADHI_53,52267
ADHI_531,50256
ADHI_537,47947
ADHI_540,49327
ADHI_541,48770
ADHI_542,49689
ADHI_543,49330
ADHI_547,49140
ADHI_549,48949
ADHI_552,49896
ADHI_561,47927
ADHI_562,50318
ADHI_563,51318
ADHI_568,51122
ADHI_58,52755
ADHI_583,52032
ADHI_591,52028
ADHI_593,49712
ADHI_594,49894
ADHI_595,51084
ADHI_6,52740
ADHI_600,49518
ADHI_611,49134
ADHI_614,49918
ADHI_616,49890
ADHI_623,48558
ADHI_627,48754
ADHI_628,49555
ADHI_629,51120
ADHI_630,51459
ADHI_631,49700
ADHI_632,50078
ADHI_633,48556
ADHI_634,50926
ADHI_635,50512
ADHI_64,52434
ADHI_640,51300
ADHI_645,50508
ADHI_649,50264
ADHI_65,52077
ADHI_652,50462
ADHI_73,52911
ADHI_77,54481
ADHI_8,52583
ADHI_84,55087
ADHI_85,53923
ADHI_91,54107
ADHI_96,53394
ADHI_98,54110
BR_0000001,55820
BR_0000002,55825
BR_0000017,55014
BR_0000023,55648
BR_0000040,56773
BR_0000070,56968
BR_0000073,57567
BR_0000082,56409
BR_0000086,55241
BR_0000095,54054
BR_0000097,54231
BR_0000099,54060
BR_0000104,54064
BR_0000130,55243
BR_0000136,58859
BR_0000143,58691
BR_0000150,59181
BR_0000151,58216
BR_0000177,57572
BR_0000201,57916
BR_0000205,57914
BR_0000217,54631
BR_0000219,54633
BR_0000225,54252
BR_0000286,55671
BR_0000384,58252
BR_0000539,55884
BR_0000574,57015
BR_0000583,57420
BR_0000632,55499
BR_0000651,56646
BR_0000880,60504
BR_0000992,59744
BR_0001008,59572
BR_0001042,58893
BR_0001074,58261
BR_0001083,58110
BR_0001088,57618
BR_0001100,57222
BR_0001137,58273
BR_0001178,58423
BR_0001184,58744
BR_0001204,59233
BR_0001213,59237
BR_0001242,59757
BR_0001313,60513
BR_0001333,60890
BR_0001466,61064
BR_0001561,62386
BR_0001729,60499
BR_0001752,61050
BR_0001828,60311
BR_0001848,60685
BR_0001862,60494
BR_0001876,60682
BR_0001926,61805
BR_0002042,61799
BR_0002075,61798
BR_0002210,62381
BR_0002262,61403
BR_0002274,61593
BR_0002283,61590
BR_0002414,62750
BR_0002422,62374
BR_0002446,62176
BR_0002777,59548
BR_0002829,61396
BR_0002831,61391
BR_0002929,64110
BR_0002956,64431
BR_0003223,64903
BR_0003243,64441
BR_0003291,65051
CA_0000366,26488
CA_0000428,29055
CA_0000959,27803
CA_0001034,29866
CA_0001145,28652
CA_0001180,27379
CA_0001325,29477
CA_0001592,26525
CA_0001627,25678
CA_0001645,24800
CA_0001816,22040
CA_0001844,19916
CA_0001876,22053
CA_0001926,22511
CA_0001939,22975
CA_0001976,25184
CA_0001978,24740
CA_0002004,26500
CA_0002016,26938
CA_0002850,25154
CA_0002905,21549
CA_0002933,23344
CA_0003156,26460
CA_0003408,24275
CA_0003411,23818
CA_0003426,20723
CA_0003430,20308
CA_0003496,18652
CA_0003533,15872
CA_0003535,13173
CA_0003576,22857
CA_0003632,21968
CA_0003653,21098
CA_0003713,19424
CA_0003878,18618
CA_0003884,14793
CA_0003893,15337
CA_0003900,12576
CA_0003906,13709
CA_0003920,13703
CA_0005158,24685
CA_0005993,15300
CA_0006009,16334
CA_0006017,14232
CA_0006024,13113
CA_0006049,11404
CA_0006070,10796
CA_0006108,11448
CN_0000001,39364
CN_0000003,43729
CN_0000006,43450
CN_0000021,43452
CN_0000033,44291
CN_0000040,44582
CN_0000081,44862
CN_0000089,40028
ES_0000279,32185
ES_0000640,34311
FR_0000290,28271
FR_0000291,27857
FR_0000304,30693
FR_0000305,27853
FR_0000329,28694
FR_0000476,30302
FR_0001095,26561
FR_0001097,26998
IN_0000004,43103
IN_0000011,44803
IN_0000021,44805
IN_0000028,44534
IN_0000037,45376
IN_0000044,45923
IN_0000049,45653
IN_0000062,46918
IN_0000063,46663
IN_0000065,46661
IN_0000071,46669
IN_0000079,46425
IN_0000087,45666
IN_0000096,47175
IN_0000098,47636
IN_0000109,47856
IN_0000115,47845
IN_0000124,48278
IN_0000127,48879
IN_0000139,47850
IN_0000140,47624
IN_0000149,48274
IN_0000172,50191
IN_0000176,49621
IN_0000209,49625
IN_0000223,45940
IN_0000233,45937
IN_0000234,45393
IN_0000243,45110
IN_0000253,44831
RU_0000397,20985
RU_0000400,25912
RU_0000416,11733
TH_0000042,47647
TH_0000097,48498
US_0004588,27749
US_0005704,36586
US_0005774,37260
